Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
Traditionel Blanc,BeausÃ©jour,Light,,50.0%,Guadeloupe,2.0,1.0,,,,6.1667691336300745
White,Barbadoza,Light,,40.0%,Lithuania,1.0,1.0,,,,6.120151983056138
Eleve Sous Bois,Depaz,Agricole,Column Still (1-4),50.0%,Martinique,4.0,1.0,,,,6.260003434777947
Centennial Dark 20-Year,Tanduay,Aged,,40.0%,Philippines,8.0,1.0,,20.0,,6.446472037073693
Ambre Heritage 1749 18-Mois,La Mauny,Agricole,Column Still (1-4),40.0%,Martinique,3.0,1.0,,,,6.21338628420401
Cask Strength 14-Year,N. Kroger,Aged,,,Germany,7.0,1.0,,14.0,,6.399854886499757
2009 Fiji South Pacific FSDP 13-Year,Rumclub Private Selection,Aged,Pot Still,60.4%,Germany,9.0,1.0,,13.0,2009.0,6.49308918764763
1995 Carafe 10-Year,Reimonenq,Agricole,Column Still (1-4),40.0%,Guadeloupe,6.0,1.0,,10.0,1995.0,6.353237735925821
Blueberry,Flight Club,Flavored,,40.0%,United Kingdom,3.0,1.0,,,,6.21338628420401
Lemongrass,Labourdonnais,Flavored,,37.5%,Mauritius,4.0,1.0,,,,6.260003434777947
7 Deadly Sins No 1 Lust Solera 5-15 Years,Pretty Maids,Aged,,40.0%,Denmark,6.0,1.0,,,,6.353237735925821
2011 Fiji Single Cask 2021 10-Year,Plantation,Aged,Column Still (1-4),50.4%,Multiple,8.0,1.0,,10.0,2011.0,6.446472037073693
2005 10-Year,Bielle,Agricole,Column Still (1-4),55.7%,Guadeloupe,5.0,1.0,,10.0,2005.0,6.306620585351884
2003 Demerara Guyana Diamond 12-Year,Silver Seal,Aged,,,Italy,8.0,1.0,,12.0,2003.0,6.446472037073693
Chocolate Rum Cream,Sangster's,Flavored,,,Jamaica,4.0,1.0,,,,6.260003434777947
Concebido Organico,Sin Pecado,Light,,,Mexico,5.0,1.0,,,,6.306620585351884
Madeira Single Cask 2016,Barikenn,Agricole,Column Still (1-4),53.4%,France,6.0,1.0,,,,6.353237735925821
Arrange Letchi Passion,Isautier,Flavored,,40.0%,Reunion,6.0,1.0,,,,6.353237735925821
Anejo,Ribera Caribena,Aged,,40.0%,Spain,0.0,1.0,,,,6.073534832482201
Silver,Kakira,Light,Pot Still,40.0%,Uganda,4.0,1.0,,,,6.260003434777947
9-Year,Davidsen's,Aged,,40.0%,Denmark,6.0,1.0,,9.0,,6.353237735925821
2020 Les Frères de la Côte Navigation 2021 Cuvée No 1 1-Year,La Favorite,Agricole,Column Still (1-4),67.6%,Martinique,9.0,1.0,,1.0,2020.0,6.49308918764763
2007 Savoir Faire Beau Plan 13-Year,New Grove,Aged,,45.0%,Mauritius,7.0,1.0,,13.0,2007.0,6.399854886499757
1996 Caroni 5th Employee Release Roopnarine ”Roop” Toolsie 25-Year,Velier,Aged,Column Still (1-4),66.1%,Multiple,9.0,1.0,,25.0,1996.0,6.49308918764763
Marie Galante Bielle Selection Casks,Rum Explorer,Agricole,,44.6%,France,8.0,1.0,,,,6.446472037073693
2019 Montebello Brut de Colonne Blanc,Barikenn,Agricole,Column Still (1-4),81.6%,France,8.0,1.0,,,2019.0,6.446472037073693
2021 Hampden DOK,The Nectar Of The Daily Drams,Light,Pot Still,60.0%,Belgium,9.0,1.0,,,2021.0,6.49308918764763
Solera 22-Year,Richardson,Aged,,40.0%,Mexico,6.0,1.0,,22.0,,6.353237735925821
Classic,Dr. Clyde,Gold,,40.0%,Belgium,9.0,1.0,,,,6.49308918764763
Spiced,Blue Monkey,Spiced,,37.5%,United Kingdom,8.0,1.0,,,,6.446472037073693
2008 Guyanese Single Cask Strength Collection Port Mourant 13-Year,Hamilton,Aged,Pot Still,55.7%,Multiple,10.0,1.0,,13.0,2008.0,6.539706338221566
Mango Tango,Code,Flavored,,40.0%,United States,2.0,1.0,,,,6.1667691336300745
Blanc 50,Madras,Agricole,,50.0%,Guadeloupe,2.0,1.0,,,,6.1667691336300745
Liqueur Coco,Bielle,Flavored,Column Still (1-4),24.0%,Guadeloupe,3.0,1.0,,,,6.21338628420401
Chocolate Shake,Tippy Cow Rum Cream,Flavored,,14.0%,Uruguay,2.0,1.0,,,,6.1667691336300745
Vieux 3-Year,Bologne,Agricole,Column Still (1-4),41.0%,Guadeloupe,3.0,1.0,,3.0,,6.21338628420401
2008 Single cask 7-Year,Rhum JM,Agricole,Column Still (1-4),41.0%,Martinique,8.0,1.0,,7.0,2008.0,6.446472037073693
Blanc 50,Grand Fond Galion,Light,,50.0%,Martinique,2.0,1.0,,,,6.1667691336300745
Bali Hai Tiki Holiday Spirit,Cutwater,Flavored,Pot Still,,United States,7.0,1.0,,,,6.399854886499757
Punch Coco,Domaine de Severin,Flavored,Column Still (1-4),20.0%,Guadeloupe,4.0,1.0,,,,6.260003434777947
Blanco,Artemi,Light,,,Spain,5.0,1.0,,,,6.306620585351884
Vanilla Soft Serve,Tippy Cow Rum Cream,Flavored,,14.0%,Uruguay,4.0,1.0,,,,6.260003434777947
2000 Nicaragua 21-Year,RomDeLuxe,Aged,Column Still (5+),61.0%,Denmark,7.0,1.0,,21.0,2000.0,6.399854886499757
2008 8-Year,Bielle,Agricole,Column Still (1-4),48.0%,Guadeloupe,4.0,1.0,,8.0,2008.0,6.260003434777947
RumlikÃ¶r Chocolate,Black Palm,Flavored,,40.0%,Germany,4.0,1.0,,,,6.260003434777947
Ice Rhum,Bologne,Agricole,Column Still (1-4),45.0%,Guadeloupe,3.0,1.0,,,,6.21338628420401
White,Balmord,Light,,40.0%,Sri Lanka,6.0,1.0,,,,6.353237735925821
Reserve Albert Godefroy VSOP 4-Year,Bellevue,Agricole,Column Still (1-4),45.0%,Guadeloupe,5.0,1.0,,4.0,,6.306620585351884
2008 Guyana Single Cask 9-Year,Kill Devil (Hunter Laing),Aged,Pot Still,63.2%,United Kingdom,8.0,1.0,,9.0,2008.0,6.446472037073693
Cognac Casks,Atlantico,Aged,,40.0%,Dominican Republic,8.0,1.0,,,,6.446472037073693
Nicaragua XO,Rum & Cane,Aged,,40.0%,Andorra,9.0,1.0,,,,6.49308918764763
2003 Cuba Chronicles 15-Year,Plantation,Aged,,,Multiple,6.0,1.0,,15.0,2003.0,6.353237735925821
Light,Byram River,Light,,40.0%,United States,7.0,1.0,,,,6.399854886499757
Old Line,Caribbean Golden,Aged,,40.0%,Multiple,7.0,1.0,,,,6.399854886499757
Old Oranjestad,Old Man Guavaberry,Flavored,,,Saint Martin,2.0,1.0,,,,6.1667691336300745
PEWOKE XO Barbade Grande Reserve 9-Year,Cherry Rocher,Aged,,40.0%,France,8.0,1.0,,9.0,,6.446472037073693
2006 Single Cask (MEB 2021) 15-Year,HSE,Aged,Column Still (1-4),47.8%,Martinique,8.0,1.0,,15.0,2006.0,6.446472037073693
Suspiro,Brugal,Gold,,,Dominican Republic,4.0,1.0,,,,6.260003434777947
2001 Guyana 10-Year,Renegade,Aged,,40.0%,Multiple,9.0,1.0,,10.0,2001.0,6.49308918764763
Spiced,Resurgence,Spiced,,40.0%,United States,5.0,1.0,,,,6.306620585351884
Arturo Makasare 15-Year,Corman Collins,Aged,,44.0%,Belgium,9.0,1.0,,15.0,,6.49308918764763
Navy Strength Spiced,Denver,Spiced,,,United States,7.0,1.0,,,,6.399854886499757
2016 Genesis Vieux 2-Year,Longueteau,Agricole,Column Still (1-4),71.7%,Guadeloupe,8.0,1.0,,2.0,2016.0,6.446472037073693
2005 Long Pond Wild Series No 26 Jamaica VRW 16-Year,RomDeLuxe,Aged,Pot Still,68.5%,Denmark,9.0,1.0,,16.0,2005.0,6.49308918764763
First Class Panamanian 15-Year,Rio Chagres,Aged,,40.0%,Panama,7.0,1.0,,15.0,,6.399854886499757
2003 Long Pond TECA 15-Year,National Rums of Jamaica,Aged,Pot Still,63.0%,Jamaica,9.0,1.0,,15.0,2003.0,6.49308918764763
Arrange Mandarine Sauvage,Isautier,Flavored,,40.0%,Reunion,7.0,1.0,,,,6.399854886499757
Gold,East Coast Spirits,Gold,,40.0%,Canada,5.0,1.0,,,,6.306620585351884
2015 1821 6-Year,Bellevue,Aged,Column Still (1-4),45.0%,Guadeloupe,8.0,1.0,,6.0,2015.0,6.446472037073693
1991 Haubariria KFM Enmore Guyana 31-Year,Tamosi,Aged,Pot Still,52.6%,Barbados,9.0,1.0,,31.0,1991.0,6.49308918764763
2000 Dom Republic 16-Year,Compagnie des Indes,Aged,,62.0%,France,10.0,1.0,,16.0,2000.0,6.539706338221566
Key Lime Flavored,Island Vibes,Flavored,,30.0%,United States,3.0,1.0,,,,6.21338628420401
Small Batch Distillery Edition Coconut Reserve 16-Year,Bundaberg,Flavored,,43.0%,Australia,3.0,1.0,,16.0,,6.21338628420401
2004 Foursquare,Bristol Classic,Aged,,,United Kingdom,8.0,1.0,,,2004.0,6.446472037073693
1999 Cuba Sancti Spiritus CMA Cask Strength 17-Year,Cadenhead's,Aged,Column Still (5+),62.5%,United Kingdom,7.0,1.0,,17.0,1999.0,6.399854886499757
Nicaragua 18-Year,Bonpland,Aged,,40.0%,Germany,7.0,1.0,,18.0,,6.399854886499757
2000 Rare Cask Collection Robert Peronet 16-Year,Clement,Agricole,Column Still (1-4),55.3%,Martinique,8.0,1.0,,16.0,2000.0,6.446472037073693
Licor de CaÃ±a,Los Reyes,Flavored,,32.0%,Mexico,4.0,1.0,,,,6.260003434777947
2006 Tropical Ageing 15-Year,Beenleigh,Aged,Pot Still,59.0%,Australia,8.0,1.0,,15.0,2006.0,6.446472037073693
2007 Barbados Foursquare Cask Strength 10-Year,Compagnie des Indes,Aged,,62.1%,France,8.0,1.0,,10.0,2007.0,6.446472037073693
Coffee Maple,Sea Fever,Flavored,,40.0%,Canada,5.0,1.0,,,,6.306620585351884
Amber,Quackenbush,Gold,,40.0%,United States,7.0,1.0,,,,6.399854886499757
25-Year,Sansibar,Aged,,,Germany,8.0,1.0,,25.0,,6.446472037073693
2006 Master's Selection: For the 30th Anniversary of Charles Hofer SA 13-Year,Chairman's,Aged,Pot Still,56.0%,Saint Lucia,9.0,1.0,,13.0,2006.0,6.49308918764763
Extra Old,Canne Royale,Gold,,,Grenada,7.0,1.0,,,,6.399854886499757
Spiced Gold,Black Sails,Spiced,Pot and Column Still,40.0%,Estonia,2.0,1.0,,,,6.1667691336300745
RÃ²m BÃ¨rdÃ¨,Family LeÃ¡Ã±ez,Spiced,,35.0%,CuraÃ§ao,7.0,1.0,,,,6.399854886499757
Diva,Bologne,Agricole,Column Still (1-4),50.0%,Guadeloupe,4.0,1.0,,,,6.260003434777947
Heritage Tres Vieux,Charrette,Aged,,40.0%,Reunion,7.0,1.0,,,,6.399854886499757
Dark,Marks & Spencer,Dark,,37.5%,United Kingdom,6.0,1.0,,,,6.353237735925821
Dark,Barbadoza,Dark,,40.0%,Lithuania,2.0,1.0,,,,6.1667691336300745
Blanc 40,Belle Canne,Light,,40.0%,Guadeloupe,3.0,1.0,,,,6.21338628420401
3 Tides Smoked Demerara,Beaufort,Spiced,,40.0%,United Kingdom,7.0,1.0,,,,6.399854886499757
Overproof,Takamaka,Light,,,Seychelles,6.0,1.0,,,,6.353237735925821
Pti Lakaz 8-Year,Takamaka,Aged,Pot and Column Still,45.1%,Seychelles,9.0,1.0,,8.0,,6.49308918764763
French Antilles Discovery Range,La Maison Du Rhum,Agricole,Column Still (1-4),45.0%,France,7.0,1.0,,,,6.399854886499757
2003 Marsala finish 16-Year,Big Mama,Aged,,40.0%,Guyana,7.0,1.0,,16.0,2003.0,6.399854886499757
1970 Squadron Blended Dark 3-Year,Truman & Orange,Dark,,40.0%,South Africa,2.0,1.0,,3.0,1970.0,6.1667691336300745
Silver,Jan Stephenson,Light,,,United States,3.0,1.0,,,,6.21338628420401
2004 Panama 10-Year,Kill Devil (Hunter Laing),Aged,,,United Kingdom,5.0,1.0,,10.0,2004.0,6.306620585351884
2007 Panama Syrah Finish 14-Year,Plantation,Aged,,46.5%,Multiple,6.0,1.0,,14.0,2007.0,6.353237735925821
Panama 13-Year,The Rum Cask,Aged,,,Germany,8.0,1.0,,13.0,,6.446472037073693
Nicaragua 10-Year,Hammerschmiede,Aged,,40.0%,Germany,6.0,1.0,,10.0,,6.353237735925821
2008 Trinidad Ten Cane 14-Year,Rum Artesanal,Aged,Pot Still,58.2%,Multiple,9.0,1.0,,14.0,2008.0,6.49308918764763
Huihui,Kuleana,Light,,40.0%,United States,4.0,1.0,,,,6.260003434777947
2015 Bourbon Barrel Aged 6-Year,Binnacle Bay,Aged,,45.0%,United States,5.0,1.0,,6.0,2015.0,6.306620585351884
Gran Anejo 7-Year,Vigia,Aged,Column Still (5+),40.0%,Cuba,2.0,1.0,,7.0,,6.1667691336300745
2006 Jamaica,S.B.S.,Aged,,,Denmark,9.0,1.0,,,2006.0,6.49308918764763
Single Cask El Salvador 12-Year,Zaka,Aged,,,Mauritius,6.0,1.0,,12.0,,6.353237735925821
Silver,FlipFlop,Light,Pot and Column Still,40.0%,United States,7.0,1.0,,,,6.399854886499757
1995 Don Jose 19-Year,The Perfect Dram,Aged,,,Panama,7.0,1.0,,19.0,1995.0,6.399854886499757
Sample X Foursquare 13-Year,Kintra,Aged,,,Netherlands,9.0,1.0,,13.0,,6.49308918764763
2006 Jamaica WP 10-Year,Transcontinental Rum Line,Aged,,46.0%,France,4.0,1.0,,10.0,2006.0,6.260003434777947
2020 C<>h,Hampden Estate,Aged,Pot Still,62.5%,Jamaica,8.0,1.0,,,2020.0,6.446472037073693
Premium Gold 5-Year,Tortuga,Gold,,40.0%,Cayman Islands,4.0,1.0,,,,6.260003434777947
2021 Papa Rouyo White,Habitation Velier,Agricole,Pot Still,62.0%,Italy,6.0,1.0,,,2021.0,6.353237735925821
Procrastinatorâ€™s Reserve 4-Year,Raleigh,Gold,,,United States,9.0,1.0,,4.0,,6.49308918764763
2003 Jamaica Monymusk 12-Year,Duncan Taylor,Aged,Pot Still,52.1%,United Kingdom,6.0,1.0,,12.0,2003.0,6.353237735925821
White,Maplewood Brewing Company,Light,,47.5%,United States,7.0,1.0,,,,6.399854886499757
Gran Reserva XV Exclusiva,Brugal,Aged,,,Dominican Republic,8.0,1.0,,,,6.446472037073693
Labbe 3-Stars,Berling,Gold,,40.0%,Haiti,0.0,1.0,,,,6.073534832482201
2005-2014-2015 Private Vintage Christian de MontaguÃ¨re 5-Year,Trois Rivieres,Agricole,Column Still (1-4),55.0%,Martinique,9.0,1.0,,5.0,,6.49308918764763
1986 West Indies Barbados Rockley Style 34-Year,Rum Artesanal,Aged,,53.7%,Multiple,9.0,1.0,,34.0,1986.0,6.49308918764763
Artesanal Solera 15-Year,Aconte,Aged,,40.0%,Mexico,2.0,1.0,,15.0,,6.1667691336300745
2001 Jamaica Ed.8 Long Pond 21-Year,Colours of Rum,Aged,Pot Still,56.4%,Multiple,8.0,1.0,,21.0,2001.0,6.446472037073693
2014 4-Year,Bielle,Agricole,Column Still (1-4),42.0%,Guadeloupe,3.0,1.0,,4.0,2014.0,6.21338628420401
2008 Single Cask Trinidad 13-Year,Plantation,Aged,Column Still (1-4),49.6%,Multiple,9.0,1.0,,13.0,2008.0,6.49308918764763
2003 2003 Demerara Dark 15-Year,Samaroli,Aged,,45.0%,United Kingdom,8.0,1.0,,15.0,2003.0,6.446472037073693
1999 Guyana Uitvlugt 17-Year,Ultimatum,Aged,,58.3%,Netherlands Antilles,9.0,1.0,,17.0,1999.0,6.49308918764763
Over the World,Samaroli,Aged,,,United Kingdom,4.0,1.0,,,,6.260003434777947
Grilled Pineapple,Carmelita's,Flavored,,,United States,3.0,1.0,,,,6.21338628420401
2004 Florida 17-Year,Compagnie des Indes,Aged,,44.0%,France,6.0,1.0,,17.0,2004.0,6.353237735925821
Elixir,Torcedor,Flavored,,40.0%,Germany,4.0,1.0,,,,6.260003434777947
Trinidad Caroni 20-Year,Ultimatum,Aged,,,Netherlands Antilles,9.0,1.0,,20.0,,6.49308918764763
Original,Numbskul,Spiced,,40.0%,United States,3.0,1.0,,,,6.21338628420401
Selecao,Branca,Agricole,,40.0%,Portugal,5.0,1.0,,,,6.306620585351884
2009,970,Agricole,,40.0%,Portugal,8.0,1.0,,,2009.0,6.446472037073693
50,Branca,Agricole,,,Portugal,3.0,1.0,,,,6.21338628420401
Gold,Red Harbor,Gold,,40.0%,United States,7.0,1.0,,,,6.399854886499757
Dark,Chauffe-CÅ“ur,Agricole,,40.0%,France,8.0,1.0,,,,6.446472037073693
2005 Reserve Master’s Selection For Dom Whisky 15-Year,Chairman's,Aged,Pot and Column Still,59.4%,Saint Lucia,9.0,1.0,,15.0,2005.0,6.49308918764763
2000 Barbados PX Cask Finish 21-Year,S.B.S.,Aged,Pot Still,47.1%,Denmark,8.0,1.0,,21.0,2000.0,6.446472037073693
1821 Reserva Especial (No Specific Vintage) 6-Year,Bellevue,Aged,Column Still (1-4),45.0%,Guadeloupe,9.0,1.0,,6.0,,6.49308918764763
Overproof,Cockspur,Light,,65.0%,Barbados,9.0,1.0,,,,6.49308918764763
Cask Collection New American Oak 4-Year,Clement,Agricole,Column Still (1-4),62.5%,Martinique,8.0,1.0,,4.0,,6.446472037073693
Pineapple Coconut Splash,Cockspur,Flavored,,21.0%,Barbados,0.0,1.0,,,,6.073534832482201
2007 Savoir Faire,New Grove,Aged,,40.0%,Mauritius,5.0,1.0,,,2007.0,6.306620585351884
2005 Belize Travellers Cask Strength 12-Year,Compagnie des Indes,Aged,,55.0%,France,9.0,1.0,,12.0,2005.0,6.49308918764763
White,Cotton & Reed,Light,,40.0%,United States,6.0,1.0,,,,6.353237735925821
Refined Dark Navy,Asda,Dark,,37.5%,United Kingdom,3.0,1.0,,,,6.21338628420401
2004 CACD Distillery Cask 7 Venezuela 13-Year,Kintra,Aged,,,Netherlands,0.0,1.0,,13.0,2004.0,6.073534832482201
1993 Trinidad Caroni 23-Year,Compagnie des Indes,Aged,,53.1%,France,9.0,1.0,,23.0,1993.0,6.49308918764763
Blanc 50,Charles Simonnet,Agricole,,50.0%,Guadeloupe,3.0,1.0,,,,6.21338628420401
Dorada Golden,Las Palmas,Gold,,37.5%,Trinidad and Tobago,2.0,1.0,,,,6.1667691336300745
2008 1821 10-Year,Bellevue,Aged,Column Still (1-4),45.0%,Guadeloupe,7.0,1.0,,10.0,2008.0,6.399854886499757
Light,Old Mission,Light,,40.0%,United States,6.0,1.0,,,,6.353237735925821
5-Year,Rockhopper,Aged,,40.0%,Belgium,8.0,1.0,,5.0,,6.446472037073693
Dark Elvis,Adinco Distilleries,Aged,,40.0%,India,3.0,1.0,,,,6.21338628420401
Hot Joy,Ranch Brands,Light,,50.0%,United States,3.0,1.0,,,,6.21338628420401
2007 Madras 12-Year,Savanna,Aged,Column Still (1-4),60.3%,Reunion,9.0,1.0,,12.0,2007.0,6.49308918764763
2018 Creol Straight Batch #1,Savanna,Agricole,Column Still (1-4),67.2%,Reunion,8.0,1.0,,,2018.0,6.446472037073693
2009 Hampden DOK 12-Year,Rumclub Private Selection,Aged,Pot Still,58.2%,Germany,9.0,1.0,,12.0,2009.0,6.49308918764763
Charlesville,Sas Distilleries,Dark,,,Belgium,0.0,1.0,,,,6.073534832482201
2018 La CrÃ¨ole Christian de MontaguÃ¨re,La Favorite,Agricole,Column Still (1-4),56.0%,Martinique,9.0,1.0,,,2018.0,6.49308918764763
1994 Enmore REV 27-Year,Rumclub Private Selection,Aged,Pot Still,54.5%,Germany,9.0,1.0,,27.0,1994.0,6.49308918764763
Cape Fynbos 4-Year,Sugarbird,Flavored,Pot Still,43.0%,South Africa,9.0,1.0,,4.0,,6.49308918764763
Origin French Antilles Grand Arome,S.B.S.,Light,Column Still (1-4),57.0%,Denmark,8.0,1.0,,,,6.446472037073693
2013 Trinidad TDL 8-Year,Bristol Classic,Aged,Column Still (1-4),43.0%,United Kingdom,9.0,1.0,,8.0,2013.0,6.49308918764763
2004 Single Barrel For Kirsch 14-Year,Rhum JM,Agricole,Pot Still,43.6%,Martinique,8.0,1.0,,14.0,2004.0,6.446472037073693
2013 Vintages Collection No 2 Barbados 9-Year,Plantation,Aged,Pot and Column Still,50.2%,Multiple,8.0,1.0,,9.0,2013.0,6.446472037073693
2004 Venezuela C.A.S.C.A. 14-Year,Kill Devil (Hunter Laing),Aged,Column Still (1-4),46.0%,United Kingdom,9.0,1.0,,14.0,2004.0,6.49308918764763
Gold,Suntory,Gold,,40.0%,Japan,3.0,1.0,,,,6.21338628420401
Serie Especial Ouro Cachaca,Velho Barreiro,Cachaca,,40.0%,Brazil,5.0,1.0,,,,6.306620585351884
Mutineers Gold XO,Sunset,Gold,,40.0%,Saint Vincent And The Grenedines,7.0,1.0,,,,6.399854886499757
151,Hana Bay,Light,,,United States,2.0,1.0,,,,6.1667691336300745
2008 Guyana 8-Year,Kill Devil (Hunter Laing),Aged,,,United Kingdom,8.0,1.0,,8.0,2008.0,6.446472037073693
BÃ­lÃ½ KokosovÃ½,Bozkov,Flavored,,,Czechia,3.0,1.0,,,,6.21338628420401
Old Panama,Rum Company,Aged,,40.0%,Germany,8.0,1.0,,,,6.446472037073693
Caribbean XO,Berry Bros & Rudd,Dark,,40.0%,United Kingdom,8.0,1.0,,,,6.446472037073693
15-Year,Arturo Makasare,Aged,,,Dominican Republic,8.0,1.0,,15.0,,6.446472037073693
Deep Blue Palo Cortado Finish,Emperor,Aged,Pot and Column Still,40.0%,Mauritius,6.0,1.0,,,,6.353237735925821
Transat Blanc,Charbonnaud,Agricole,,45.1%,Martinique,8.0,1.0,,,,6.446472037073693
Small Batch Overproof,Copper Run,Light,,60.0%,United States,3.0,1.0,,,,6.21338628420401
Old Reserve 2-Year,Florida,Aged,,42.0%,United States,7.0,1.0,,2.0,,6.399854886499757
Cuvee du Distillateur 3-Year,Damoiseau,Agricole,Column Still (1-4),42.0%,Guadeloupe,3.0,1.0,,3.0,,6.21338628420401
Reserve RQL 10-Year,Reimonenq,Agricole,Column Still (1-4),44.0%,Guadeloupe,6.0,1.0,,10.0,,6.353237735925821
2002 Guyana Enmore 11-Year,Cadenhead's,Gold,,,United Kingdom,7.0,1.0,,11.0,2002.0,6.399854886499757
2008 Caribbean Multi Distilleries 10-Year,Compagnie des Indes,Aged,,43.0%,France,6.0,1.0,,10.0,2008.0,6.353237735925821
Silver,Davidsen's,Light,,37.5%,Denmark,2.0,1.0,,,,6.1667691336300745
1975 Port Morant,Berry Bros & Rudd,Dark,,,United Kingdom,9.0,1.0,,,1975.0,6.49308918764763
Lake House Spiced,Cardinal,Spiced,,40.0%,United States,5.0,1.0,,,,6.306620585351884
Spiced Butterscotch,Rum 25,Spiced,,37.5%,United Kingdom,9.0,1.0,,,,6.49308918764763
Skepta Edition 2020 7-Year,Havana Club,Dark,Column Still (5+),40.0%,Cuba,7.0,1.0,,7.0,,6.399854886499757
2021 LROK,Hampden Estate,Light,Pot Still,62.5%,Jamaica,9.0,1.0,,,2021.0,6.49308918764763
Peach Tea,Legendaire,Flavored,,30.0%,United States of America,2.0,1.0,,,,6.1667691336300745
Premium Founders Batch,Sturlese,Dark,,45.0%,United States,0.0,1.0,,,,6.073534832482201
Bordeaux Cask,Ghost in a Bottle,Aged,,40.0%,Trinidad and Tobago,6.0,1.0,,,,6.353237735925821
2020 Dunfermline Pre Cask Single Farm Origin Pot Still,Renegade,Light,Pot Still,50.0%,Multiple,8.0,1.0,,,2020.0,6.446472037073693
Black,Black Coral,Dark,,40.0%,United States,5.0,1.0,,,,6.306620585351884
160th Anniversary 8-Year,Barbancourt,Aged,,43.0%,Haiti,7.0,1.0,,8.0,,6.399854886499757
Premium White,Seawolf,Light,,41.0%,United Kingdom,5.0,1.0,,,,6.306620585351884
1998 Single Cask Jamaica 13-Year,Plantation,Aged,,47.5%,Multiple,8.0,1.0,,13.0,1998.0,6.446472037073693
Gold,Coral Reef,Gold,,40.0%,United States,5.0,1.0,,,,6.306620585351884
Liberacion 15-Year,Ron De Cuba,Aged,,40.0%,Cuba,7.0,1.0,,15.0,,6.399854886499757
2019 2-Year,Tipping Point Distillers,Aged,,40.0%,Canada,7.0,1.0,,2.0,2019.0,6.399854886499757
Dark,Base Spirits,Dark,,40.0%,United Kingdom,4.0,1.0,,,,6.260003434777947
2007 Single Cask 10-Year,Trois Rivieres,Agricole,Column Still (1-4),42.0%,Martinique,8.0,1.0,,10.0,2007.0,6.446472037073693
1980 10-Year,Trois Rivieres,Agricole,Column Still (1-4),45.0%,Martinique,9.0,1.0,,10.0,1980.0,6.49308918764763
Reserva Especial,Veleiro,Aged,,40.0%,Dominican Republic,6.0,1.0,,,,6.353237735925821
2014 Barrel Select Smuggler's Cove 5-Year,English Harbour,Aged,Column Still (1-4),67.0%,Antigua and Barbuda,7.0,1.0,,5.0,2014.0,6.399854886499757
5-Year,Guantanamera,Gold,,40.0%,Dominican Republic,7.0,1.0,,5.0,,6.399854886499757
2020 First Release Port Finisch,Schotman Peated Rum,Aged,Pot and Column Still,61.0%,Netherlands,4.0,1.0,,,2020.0,6.260003434777947
1997 Guyana Uitvlugt 24-Year,The Duchess,Aged,Pot Still,55.3%,Netherlands,9.0,1.0,,24.0,1997.0,6.49308918764763
1995 11-Year,Montebello,Agricole,Column Still (1-4),42.0%,Guadeloupe,8.0,1.0,,11.0,1995.0,6.446472037073693
Golden Age,1492,Gold,,40.0%,United States,3.0,1.0,,,,6.21338628420401
Danish Cask Selection,Plantation,Aged,,,Multiple,8.0,1.0,,,,6.446472037073693
Monymusk 5-Year,Renegade,Aged,,40.0%,Multiple,8.0,1.0,,5.0,,6.446472037073693
Gold,Dingo,Gold,,,Australia,3.0,1.0,,,,6.21338628420401
1992 Guyana MEC Enmore 27-Year,Flensburg,Aged,Pot Still,59.8%,Germany,9.0,1.0,,27.0,1992.0,6.49308918764763
2000 Edition 23 Barbados Main Mount Gay BMMG 21-Year,Rumclub Private Selection,Aged,Pot Still,54.4%,Germany,9.0,1.0,,21.0,2000.0,6.49308918764763
Spiced,Bullion,Spiced,,40.0%,United Kingdom,7.0,1.0,,,,6.399854886499757
2005 15-Year,La Mauny,Agricole,Column Still (1-4),42.0%,Martinique,9.0,1.0,,15.0,2005.0,6.49308918764763
1991 Guyana Enmore KFM 30-Year,Flensburg,Aged,Pot Still,51.9%,Germany,10.0,1.0,,30.0,1991.0,6.539706338221566
1996 Clarendon 25-Year,Corman Collins,Aged,,54.0%,Belgium,8.0,1.0,,25.0,1996.0,6.446472037073693
2012,Kinship House of fine Spirits,Dark,Pot and Column Still,45.0%,Canada,6.0,1.0,,,2012.0,6.353237735925821
2007 Jamaica Single Cask 13-Year,Michlers,Aged,Pot Still,49.0%,United Kingdom,8.0,1.0,,13.0,2007.0,6.446472037073693
Panama XO Single Cask,Rum & Cane,Aged,,,Andorra,8.0,1.0,,,,6.446472037073693
2007 Trinidad Kilchoman Peated Whisky Cask 22-Year,Plantation,Aged,,,Multiple,9.0,1.0,,22.0,2007.0,6.49308918764763
Surfrider,Surf City,Light,,40.0%,United States,4.0,1.0,,,,6.260003434777947
Maple,Mad River,Flavored,,40.0%,United States,6.0,1.0,,,,6.353237735925821
Rumbutt Peanut Butter,Shellys,Flavored,,29.9%,United Kingdom,8.0,1.0,,,,6.446472037073693
Light,Bellows,Light,,40.0%,United States,2.0,1.0,,,,6.1667691336300745
White,Bully Boy,Light,,40.0%,United States,9.0,1.0,,,,6.49308918764763
Gold,Don Ruffin,Gold,,40.0%,Germany,6.0,1.0,,,,6.353237735925821
Khodays XXX,House Of Khodays,Dark,,,India,6.0,1.0,,,,6.353237735925821
Panama,Renegade,Aged,,40.0%,Multiple,8.0,1.0,,,,6.446472037073693
