Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
Anejo,Don Q,Gold,,40.0%,Puerto Rico,6.3,80.0,,,,6.314355413127619
2007 Sagacity 12-Year,Foursquare,Aged,Pot and Column Still,48.0%,Barbados,8.7,79.0,,12.0,2007.0,8.220959885190783
Gran Reserva 8-Year,Bacardi,Aged,,40.0%,Puerto Rico,6.0,79.0,35.99,8.0,,6.076192243495036
Parrot Bay Coconut,Captain Morgan,Flavored,,,Puerto Rico,5.0,79.0,20.99,,,5.281833857681797
Añejo Clásico 5-Year,Flor de Caña,Gold,,40.0%,Nicaragua,5.4,79.0,,5.0,,5.599577212007093
Planas,Diplomatico,Light,Pot Still,,Venezuela,6.0,78.0,37.99,,,6.076966151186412
XV Tawny Port Cask Finish,Abuelo,Aged,,40.0%,Panama,8.2,78.0,76.99,,,7.819959318840757
AÃ±ejo,Bacardi,Gold,,40.0%,Puerto Rico,4.9,78.0,,,,5.20546956735924
2004 11-Year,Foursquare,Aged,Pot and Column Still,59.0%,Barbados,8.6,78.0,,11.0,2004.0,8.136867167505184
Reserve Blend,Appleton Estate,Aged,,,Jamaica,6.0,78.0,,,,6.076966151186412
1671,Captain Morgan,Spiced,,35.0%,Puerto Rico,7.1,77.0,,,,6.946907730469221
Baroko 3-Year,Don Papa,Aged,,40.0%,Philippines,6.5,77.0,,3.0,,6.472824936668947
Original,Bozkov,Gold,,,Czechia,2.0,77.0,,,,2.917203983166887
Oloroso Sherry Cask 15-Year,Abuelo,Aged,,40.0%,Panama,7.9,77.0,76.99,15.0,,7.579018122202922
